Constituency No.,Constituency Name,Candidate Name,Party,Votes,Status,Margin
143,DIAMOND HARBOUR,PANNA LAL HALDER,All India Trinamool Congress,119320,won,+ 31266
143,DIAMOND HARBOUR,DIPAK KUMAR HALDER,Bharatiya Janata Party,88054,lost,-31266
143,DIAMOND HARBOUR,SAMAR NAIYA,Communist Party of India (Marxist),17594,lost,-101726
143,DIAMOND HARBOUR,GOUTAM BHATTACHARYA,Indian National Congress,1756,lost,-117564
143,DIAMOND HARBOUR,PANNALAL HALDER,Independent,1410,lost,-117910
143,DIAMOND HARBOUR,BIKASH CHANDRA MONDAL,Bahujan Samaj Party,1103,lost,-118217
143,DIAMOND HARBOUR,HUMAYUN SHAH,Independent,534,lost,-118786
143,DIAMOND HARBOUR,DIPAK HALDER,Independent,403,lost,-118917
143,DIAMOND HARBOUR,YEAMIN LASKAR,Aam Janata Unnayan party,373,lost,-118947
143,DIAMOND HARBOUR,GOUTAM KUMAR HALDER,Independent,312,lost,-119008
143,DIAMOND HARBOUR,NOTA,None of the Above,1379,,-117941
144,FALTA,ABDUR RAZZAK MOLLA,Indian National Congress,0,Counting in Progress,0
144,FALTA,JAHANGIR KHAN,All India Trinamool Congress,0,Counting in Progress,0
144,FALTA,DEBANGSHU PANDA,Bharatiya Janata Party,0,Counting in Progress,0
144,FALTA,SAMBHU NATH KURMI,Communist Party of India (Marxist),0,Counting in Progress,0
144,FALTA,CHANDRAKANTA ROY,Independent,0,Counting in Progress,0
144,FALTA,DIP HATI,Independent,0,Counting in Progress,0
144,FALTA,NOTA,None of the Above,0,,0
145,SATGACHHIA,AGNISWAR NASKAR,Bharatiya Janata Party,111023,won,+ 401
145,SATGACHHIA,SOMASHREE BETAL,All India Trinamool Congress,110622,lost,-401
145,SATGACHHIA,GOUTAM PAL,Communist Party of India (Marxist),11736,lost,-99287
145,SATGACHHIA,PRABHASH CHANDRA GHOSH,Indian National Congress,1577,lost,-109446
145,SATGACHHIA,PALASH KR MONDAL,Independent,1091,lost,-109932
145,SATGACHHIA,UTTAM PAL,Socialist Unity Centre Of India (COMMUNIST),1002,lost,-110021
145,SATGACHHIA,SANJIT GHORUI,Independent,376,lost,-110647
145,SATGACHHIA,SANJOY PRAMANICK,Independent,289,lost,-110734
145,SATGACHHIA,NOTA,None of the Above,1654,,-109369
146,BISHNUPUR,DILIP MONDAL,All India Trinamool Congress,132647,won,+ 36925
146,BISHNUPUR,ABHIJIT SARDAR,Bharatiya Janata Party,95722,lost,-36925
146,BISHNUPUR,SHYAMAL DAL,Communist Party of India (Marxist),13338,lost,-119309
146,BISHNUPUR,ARGHYA NASKAR,Indian National Congress,3158,lost,-129489
146,BISHNUPUR,PURNENDU NASKAR,Independent,1728,lost,-130919
146,BISHNUPUR,RABINDRANATH RANJAN,Bahujan Samaj Party,1178,lost,-131469
146,BISHNUPUR,HARAN MONDAL,Independent,660,lost,-131987
146,BISHNUPUR,UTTAM NASKAR,Independent,493,lost,-132154
146,BISHNUPUR,NOTA,None of the Above,1668,,-130979
147,SONARPUR DAKSHIN,RUPA GANGULY,Bharatiya Janata Party,128970,won,+ 35782
147,SONARPUR DAKSHIN,ARUNDHUTI MAITRA(LOVELY),All India Trinamool Congress,93188,lost,-35782
147,SONARPUR DAKSHIN,PARAMITA DASGUPTA,Communist Party of India,16784,lost,-112186
147,SONARPUR DAKSHIN,SUBRATA DUTTA,Indian National Congress,1368,lost,-127602
147,SONARPUR DAKSHIN,ASIMA MONDAL,Bahujan Samaj Party,846,lost,-128124
147,SONARPUR DAKSHIN,RUMPA GANGULY,Independent,698,lost,-128272
147,SONARPUR DAKSHIN,RUPA MONDAL,Independent,665,lost,-128305
147,SONARPUR DAKSHIN,RAJANYA HALDAR(SARA),Independent,512,lost,-128458
147,SONARPUR DAKSHIN,MINATI MITRA HALDER,Socialist Unity Centre Of India (COMMUNIST),499,lost,-128471
147,SONARPUR DAKSHIN,DILIP GAYEN,Mulnibasi Party of India,270,lost,-128700
147,SONARPUR DAKSHIN,RATHIN SARKAR,Independent,210,lost,-128760
147,SONARPUR DAKSHIN,PROHALLAD NASKAR,Independent,168,lost,-128802
147,SONARPUR DAKSHIN,PRADIP KUMAR MANDAL,Independent,142,lost,-128828
147,SONARPUR DAKSHIN,ATRASTA NATH,Independent,123,lost,-128847
147,SONARPUR DAKSHIN,NOTA,None of the Above,1950,,-127020
148,BHANGAR,MD NAWSAD SIDDIQUE,All India Secular Front,126555,won,+ 32088
148,BHANGAR,SAOKAT MOLLA,All India Trinamool Congress,94467,lost,-32088
148,BHANGAR,JAYANTA GAYEN,Bharatiya Janata Party,30177,lost,-96378
148,BHANGAR,NAOSAN MOLLA,Independent,5968,lost,-120587
148,BHANGAR,MAFIJUL ALI BISWAS,Independent,2128,lost,-124427
148,BHANGAR,MASADUL MOLLA,Independent,926,lost,-125629
148,BHANGAR,SUJATA RANJAN,Bahujan Samaj Party,630,lost,-125925
148,BHANGAR,MD  MIR SAMSUDDIN,Independent,618,lost,-125937
148,BHANGAR,KARIMUL MOLLA,Independent,603,lost,-125952
148,BHANGAR,MAHABUBUL ISLAM,Indian National Congress,598,lost,-125957
148,BHANGAR,RAFIQUE AKUNJI,Socialist Unity Centre Of India (COMMUNIST),563,lost,-125992
148,BHANGAR,MIRJA HASAN,Independent,510,lost,-126045
148,BHANGAR,MD MOMTAJUR RAHAMAN MOLLA,Independent,422,lost,-126133
148,BHANGAR,KAMALUDDIN MOLLA,Independent,415,lost,-126140
148,BHANGAR,AKIYABUL MIDDYA,Independent,294,lost,-126261
148,BHANGAR,IKBAL MOLLA,Independent,290,lost,-126265
148,BHANGAR,MD RABIUL ISLAM GAZI,Independent,232,lost,-126323
148,BHANGAR,RAJIB AHAMED,Independent,209,lost,-126346
148,BHANGAR,SIMA BHATTACHARYYA,Aam Janata Unnayan party,194,lost,-126361
148,BHANGAR,NOTA,None of the Above,1595,,-124960
149,KASBA,AHMED JAVED KHAN,All India Trinamool Congress,117893,won,+ 20974
149,KASBA,BANERJEE SANDIP,Bharatiya Janata Party,96919,lost,-20974
149,KASBA,DIPU DAS,Communist Party of India (Marxist),20042,lost,-97851
149,KASBA,MD. HASIM ZESHAN AHMAD,Indian National Congress,2019,lost,-115874
149,KASBA,SWAPAN CHAKRABORTY,Independent,439,lost,-117454
149,KASBA,SHAMPA SARKAR,Socialist Unity Centre Of India (COMMUNIST),408,lost,-117485
149,KASBA,DEBASISH GHOSH DASTIDAR,Independent,403,lost,-117490
149,KASBA,PRADYOT KUMAR SUR,Independent,266,lost,-117627
149,KASBA,SANJIB BISWAS,Bahujan Samaj Party,220,lost,-117673
149,KASBA,CHANDAN DEY,Independent,209,lost,-117684
149,KASBA,PARTHA PRATIM ROY,Independent,199,lost,-117694
149,KASBA,ISHTIAQUE ANWAR,Independent,161,lost,-117732
149,KASBA,IQBAL HOSSAIN,Independent,126,lost,-117767
149,KASBA,NOTA,None of the Above,1902,,-115991
150,JADAVPUR,SARBORI MUKHERJEE,Bharatiya Janata Party,106199,won,+ 27716
150,JADAVPUR,DEBABRATA MAJUMDAR (MALAY),All India Trinamool Congress,78483,lost,-27716
150,JADAVPUR,BIKASHRANJAN BHATTACHARYA,Communist Party of India (Marxist),41148,lost,-65051
150,JADAVPUR,SHYAMALI MONDAL,Indian National Congress,1502,lost,-104697
150,JADAVPUR,DEBABRATA BERA,Socialist Unity Centre Of India (COMMUNIST),470,lost,-105729
150,JADAVPUR,SANTANU SARKAR,Independent,265,lost,-105934
150,JADAVPUR,MEGHNAD NASKAR,Independent,235,lost,-105964
150,JADAVPUR,BHASWATI GANGOPADHYAY,Independent,182,lost,-106017
150,JADAVPUR,GAUTAM GOSWAMI,Independent,157,lost,-106042
150,JADAVPUR,JABA SARKAR,Independent,124,lost,-106075
150,JADAVPUR,TANUJIT DAS,Independent,121,lost,-106078
150,JADAVPUR,KRISHANU NAG,Independent,111,lost,-106088
150,JADAVPUR,BISWAJIT DAS,Independent,102,lost,-106097
150,JADAVPUR,NOTA,None of the Above,1976,,-104223
151,SONARPUR UTTAR,DEBASISH DHAR,Bharatiya Janata Party,119824,won,+ 9807
151,SONARPUR UTTAR,FIRDOUSI BEGAM,All India Trinamool Congress,110017,lost,-9807
151,SONARPUR UTTAR,MONALISA SINHA,Communist Party of India (Marxist),19744,lost,-100080
151,SONARPUR UTTAR,JAGANNATH KUMIR,Indian National Congress,1533,lost,-118291
151,SONARPUR UTTAR,SARASWATI MONDAL,Independent,1262,lost,-118562
151,SONARPUR UTTAR,SUSHAMA MAITY MANNA,Independent,586,lost,-119238
151,SONARPUR UTTAR,SANJOY PRAMANIK,Bahujan Samaj Party,391,lost,-119433
151,SONARPUR UTTAR,SAMIR BHATTACHARYA,Independent,377,lost,-119447
151,SONARPUR UTTAR,ANINDYA RAY CHAUDHURY,Socialist Unity Centre Of India (COMMUNIST),357,lost,-119467
151,SONARPUR UTTAR,NARAYAN DAS,Independent,236,lost,-119588
151,SONARPUR UTTAR,ABUL KASHEM,Independent,199,lost,-119625
151,SONARPUR UTTAR,DIPENDU ISAR,Independent,178,lost,-119646
151,SONARPUR UTTAR,ARUP MANDAL,Independent,141,lost,-119683
151,SONARPUR UTTAR,NOTA,None of the Above,1599,,-118225
152,TOLLYGANJ,PAPIA ADHIKARY,Bharatiya Janata Party,88407,won,+ 6013
152,TOLLYGANJ,AROOP BISWAS,All India Trinamool Congress,82394,lost,-6013
152,TOLLYGANJ,PARTHA PRATIM BISWAS,Communist Party of India (Marxist),30335,lost,-58072
152,TOLLYGANJ,MANAS SINHA ROY,Indian National Congress,1066,lost,-87341
152,TOLLYGANJ,AMAL DHALI,Bahujan Samaj Party,632,lost,-87775
152,TOLLYGANJ,RUPA BISWAS,Independent,426,lost,-87981
152,TOLLYGANJ,SUMITA BANERJEE,Socialist Unity Centre Of India (COMMUNIST),292,lost,-88115
152,TOLLYGANJ,MOUMITA KIRTAN,Independent,224,lost,-88183
152,TOLLYGANJ,DEBASHIS DAS,Independent,164,lost,-88243
152,TOLLYGANJ,DR.CHANDRACHUR GOSWAMI,Independent,129,lost,-88278
152,TOLLYGANJ,TAPAN DAS,Independent,91,lost,-88316
152,TOLLYGANJ,NOTA,None of the Above,1501,,-86906
153,BEHALA PURBA,SANKAR SIKDER,Bharatiya Janata Party,115502,won,+ 25137
153,BEHALA PURBA,SUBHASISH CHAKRABORTY,All India Trinamool Congress,90365,lost,-25137
153,BEHALA PURBA,DR NILAY MAJUMDAR,Communist Party of India (Marxist),21991,lost,-93511
153,BEHALA PURBA,ABHIJIT RAHA,Indian National Congress,1883,lost,-113619
153,BEHALA PURBA,PUSHPA DHALI,Bahujan Samaj Party,690,lost,-114812
153,BEHALA PURBA,ASISH SAMANTA,Socialist Unity Centre Of India (COMMUNIST),683,lost,-114819
153,BEHALA PURBA,BHOLANATH PATRA,Independent,610,lost,-114892
153,BEHALA PURBA,SUBHASHIS KAR,Independent,397,lost,-115105
153,BEHALA PURBA,KRISHNASISH GANGOPADHYAY,Independent,330,lost,-115172
153,BEHALA PURBA,PINTU BAYEN,Independent,235,lost,-115267
153,BEHALA PURBA,ATANU DAS,Independent,219,lost,-115283
153,BEHALA PURBA,ASHIM CHAKRABORTY,Independent,147,lost,-115355
153,BEHALA PURBA,NOTA,None of the Above,1635,,-113867
154,BEHALA PASCHIM,DR. INDRANIL KHAN,Bharatiya Janata Party,113171,won,+ 24699
154,BEHALA PASCHIM,RATNA CHATTERJEE,All India Trinamool Congress,88472,lost,-24699
154,BEHALA PASCHIM,NIHAR BHAKTA,Communist Party of India (Marxist),30676,lost,-82495
154,BEHALA PASCHIM,SAIBAL RAY,Indian National Congress,1606,lost,-111565
154,BEHALA PASCHIM,RATNA BAITHA,Independent,603,lost,-112568
154,BEHALA PASCHIM,SANJOY BISWAS,Socialist Unity Centre Of India (COMMUNIST),555,lost,-112616
154,BEHALA PASCHIM,ADARSHA ROY,Bahujan Samaj Party,503,lost,-112668
154,BEHALA PASCHIM,SUTAPA DAS,Independent,456,lost,-112715
154,BEHALA PASCHIM,SWAPAN DAS,Independent,428,lost,-112743
154,BEHALA PASCHIM,NIHAR ROY,Independent,276,lost,-112895
154,BEHALA PASCHIM,MOUSUMI GHOSH,Independent,184,lost,-112987
154,BEHALA PASCHIM,MRIDUL OJHA,Independent,149,lost,-113022
154,BEHALA PASCHIM,SAROOP CHATTOPADHYAY,Aam Janata Unnayan party,122,lost,-113049
154,BEHALA PASCHIM,MOHIT BANERJEE,Independent,111,lost,-113060
154,BEHALA PASCHIM,NOTA,None of the Above,1484,,-111687
155,MAHESHTALA,SUBHASIS DAS,All India Trinamool Congress,116811,won,+ 32913
155,MAHESHTALA,TAMANATH BHOWMICK,Bharatiya Janata Party,83898,lost,-32913
155,MAHESHTALA,SAYAN BANERJEE,Communist Party of India (Marxist),21222,lost,-95589
155,MAHESHTALA,ABDUL HANNAN SK,Indian National Congress,3134,lost,-113677
155,MAHESHTALA,SUPRAKASH MANDAL,Independent,1109,lost,-115702
155,MAHESHTALA,SHAILESH KUMAR,Bahujan Samaj Party,929,lost,-115882
155,MAHESHTALA,SUBIR CHAKRABORTY,Independent,524,lost,-116287
155,MAHESHTALA,SANGEETA MAITI,Socialist Unity Centre Of India (COMMUNIST),324,lost,-116487
155,MAHESHTALA,SAMIR KUMAR MONDAL,Independent,305,lost,-116506
155,MAHESHTALA,MOHAMMED ASLAM,Aam Janata Unnayan party,262,lost,-116549
155,MAHESHTALA,NOTA,None of the Above,1273,,-115538
156,BUDGE BUDGE,ASHOK KUMAR DEB,All India Trinamool Congress,127091,won,+ 46850
156,BUDGE BUDGE,DR TARUN KUMAR ADAK,Bharatiya Janata Party,80241,lost,-46850
156,BUDGE BUDGE,MUJIBAR RAHMAN KAYAL,Indian National Congress,5323,lost,-121768
156,BUDGE BUDGE,KAJAL DUTTA,Communist Party of India (Marxist-Leninist) (Liberation),2037,lost,-125054
156,BUDGE BUDGE,MAINUR KHAN,Independent,648,lost,-126443
156,BUDGE BUDGE,BASUDEB KABRI,Socialist Unity Centre Of India (COMMUNIST),452,lost,-126639
156,BUDGE BUDGE,TANMOY SARDAR,Independent,308,lost,-126783
156,BUDGE BUDGE,NOTA,None of the Above,1993,,-125098
157,METIABURUZ,ABDUL KHALEQUE MOLLA,All India Trinamool Congress,124230,won,+ 87879
157,METIABURUZ,BIR BAHADUR SINGH,Bharatiya Janata Party,36351,lost,-87879
157,METIABURUZ,MONIRUL ISLAM,Communist Party of India (Marxist),9567,lost,-114663
157,METIABURUZ,MD MUKHTAR,Indian National Congress,6441,lost,-117789
157,METIABURUZ,MAHABBAT KHAN,Independent,563,lost,-123667
157,METIABURUZ,SK MONIRUL ISLAM,Independent,408,lost,-123822
157,METIABURUZ,RAM RAMISHWAR,Bahujan Samaj Party,242,lost,-123988
157,METIABURUZ,RINA ADHIKARI ROY,Socialist Unity Centre Of India (COMMUNIST),224,lost,-124006
157,METIABURUZ,AHMED ALI MOLLA,Independent,149,lost,-124081
157,METIABURUZ,RAFIQUL ISLAM GAZI,Indian Union Muslim League,121,lost,-124109
157,METIABURUZ,AJAZ AHMED ANSARI,Aam Janata Unnayan party,87,lost,-124143
157,METIABURUZ,NOTA,None of the Above,1685,,-122545
158,KOLKATA PORT,FIRHAD HAKIM,All India Trinamool Congress,101226,won,+ 56080
158,KOLKATA PORT,RAKESH SINGH,Bharatiya Janata Party,45146,lost,-56080
158,KOLKATA PORT,FAIYAZ AHMAD KHAN,Communist Party of India (Marxist),2571,lost,-98655
158,KOLKATA PORT,AQUIB GULZAR,Indian National Congress,2533,lost,-98693
158,KOLKATA PORT,SANJAY DEY,Independent,786,lost,-100440
158,KOLKATA PORT,FIROZA KHATUN,Bahujan Samaj Party,526,lost,-100700
158,KOLKATA PORT,SEKH SADIK HOSSAIN,Independent,268,lost,-100958
158,KOLKATA PORT,OM PRAKASH RAM,Independent,242,lost,-100984
158,KOLKATA PORT,QAISAR KHAN,Independent,222,lost,-101004
158,KOLKATA PORT,MD IMTIYAZ ALAM,Aam Janata Unnayan party,166,lost,-101060
158,KOLKATA PORT,MD. MOMTAZ ALAM,Independent,158,lost,-101068
158,KOLKATA PORT,SRI CHAND BIND,Socialist Unity Centre Of India (COMMUNIST),133,lost,-101093
158,KOLKATA PORT,DINESH SHAW,Independent,97,lost,-101129
158,KOLKATA PORT,BISWAJIT HALDER,Independent,55,lost,-101171
158,KOLKATA PORT,NOTA,None of the Above,573,,-100653
159,BHABANIPUR,ADHIKARI SUVENDU,Bharatiya Janata Party,73917,won,+ 15105
159,BHABANIPUR,MAMATA BANERJEE,All India Trinamool Congress,58812,lost,-15105
159,BHABANIPUR,SHRIJEEB BISWAS,Communist Party of India (Marxist),3556,lost,-70361
159,BHABANIPUR,PRADIP PRASAD,Indian National Congress,1257,lost,-72660
159,BHABANIPUR,SUBRATA BOSE,Independent,306,lost,-73611
159,BHABANIPUR,ANUMITA SHAW,Socialist Unity Centre Of India (COMMUNIST),219,lost,-73698
159,BHABANIPUR,SK SAFI AHAMED,Independent,142,lost,-73775
159,BHABANIPUR,NARAYAN DAS,Independent,84,lost,-73833
159,BHABANIPUR,MUMTAZ ALI,Independent,79,lost,-73838
159,BHABANIPUR,MANIKA MUKHERJEE,Bharatiya Nyay-Adhikar Raksha Party,73,lost,-73844
159,BHABANIPUR,SAFAR SEKH,Independent,71,lost,-73846
159,BHABANIPUR,MALAY GUHA ROY,Independent,68,lost,-73849
159,BHABANIPUR,NOTA,None of the Above,829,,-73088
160,RASHBEHARI,DASGUPTA SWAPAN,Bharatiya Janata Party,74123,won,+ 20865
160,RASHBEHARI,DEBASISH KUMAR (DEBA),All India Trinamool Congress,53258,lost,-20865
160,RASHBEHARI,MANAS GHOSH,Communist Party of India (Marxist-Leninist) (Liberation),5618,lost,-68505
160,RASHBEHARI,ASHUTOSH CHATTERJEE,Indian National Congress,2427,lost,-71696
160,RASHBEHARI,DILIP CHANDRA HALDER,Socialist Unity Centre Of India (COMMUNIST),845,lost,-73278
160,RASHBEHARI,GOPAL GHOSH,Independent,513,lost,-73610
160,RASHBEHARI,DEBASHIS NATH,Independent,321,lost,-73802
160,RASHBEHARI,PANKAJ THAKKAR,Independent,210,lost,-73913
160,RASHBEHARI,SK ALAMGIR,Independent,203,lost,-73920
160,RASHBEHARI,NOTA,None of the Above,1296,,-72827
161,BALLYGUNGE,SOBHANDEB CHATTOPADHYAY,All India Trinamool Congress,108481,won,+ 61476
161,BALLYGUNGE,SHATORUPA,Bharatiya Janata Party,47005,lost,-61476
161,BALLYGUNGE,AFREEN BEGUM,Communist Party of India (Marxist),7185,lost,-101296
161,BALLYGUNGE,ROHAN MITRA,Indian National Congress,1975,lost,-106506
161,BALLYGUNGE,AYASANUL HAQUE SK.,Socialist Unity Centre Of India (COMMUNIST),427,lost,-108054
161,BALLYGUNGE,DOLA SARKAR,Bahujan Samaj Party,383,lost,-108098
161,BALLYGUNGE,MEHBOOB ALAM,Independent,366,lost,-108115
161,BALLYGUNGE,UTTAM KUMAR DAS,Independent,191,lost,-108290
161,BALLYGUNGE,REEPA BHATTACHARJEE,Independent,162,lost,-108319
161,BALLYGUNGE,SHAIK IMRAN,Independent,141,lost,-108340
161,BALLYGUNGE,GOBINDA NASKAR,Independent,137,lost,-108344
161,BALLYGUNGE,FAISAL KHAN,Aam Janata Unnayan party,112,lost,-108369
161,BALLYGUNGE,NOTA,None of the Above,819,,-107662
162,CHOWRANGEE,BANDYOPADHYAY NAYNA,All India Trinamool Congress,62938,won,+ 22002
162,CHOWRANGEE,SANTOSH KUMAR PATHAK,Bharatiya Janata Party,40936,lost,-22002
162,CHOWRANGEE,SANJAY BASU,Communist Party of India (Marxist),2602,lost,-60336
162,CHOWRANGEE,MANASH SARKAR,Indian National Congress,2117,lost,-60821
162,CHOWRANGEE,PRABIR SEAL,Socialist Unity Centre Of India (COMMUNIST),178,lost,-62760
162,CHOWRANGEE,SAYANTAN PATRA,Independent,118,lost,-62820
162,CHOWRANGEE,TEJASH BOLE,Independent,115,lost,-62823
162,CHOWRANGEE,DEBASISH BHADRA,Right to Recall Party,111,lost,-62827
162,CHOWRANGEE,SUMANTA BHOWMICK,Independent,76,lost,-62862
162,CHOWRANGEE,MD EHSAN ELAHI,Independent,65,lost,-62873
162,CHOWRANGEE,JOHAR IQBAL,Independent,34,lost,-62904
162,CHOWRANGEE,NOTA,None of the Above,832,,-62106
163,ENTALLY,SANDIPAN SAHA,All India Trinamool Congress,94427,won,+ 34006
163,ENTALLY,DR. PRIYANKA TIBREWAL,Bharatiya Janata Party,60421,lost,-34006
163,ENTALLY,ABDUL RAUF,Communist Party of India (Marxist),4904,lost,-89523
163,ENTALLY,KASHIF REZA,Indian National Congress,1599,lost,-92828
163,ENTALLY,RASHID IQBAL,Independent,1193,lost,-93234
163,ENTALLY,SAMS MUSHAFIR,Socialist Unity Centre Of India (COMMUNIST),553,lost,-93874
163,ENTALLY,TOUSEEF AHMED KHAN,Independent,436,lost,-93991
163,ENTALLY,PREM CHAND RAM,Independent,264,lost,-94163
163,ENTALLY,MANTU KAR,Independent,136,lost,-94291
163,ENTALLY,UDAY BARUA,Independent,135,lost,-94292
163,ENTALLY,SHA ALAM,Aam Janata Unnayan party,115,lost,-94312
163,ENTALLY,ASHOK DAS,Independent,97,lost,-94330
163,ENTALLY,ANSHAR ALI,Independent,86,lost,-94341
163,ENTALLY,IMRAN ALI,Independent,75,lost,-94352
163,ENTALLY,KUNDAN KR. SHAW,Independent,74,lost,-94353
163,ENTALLY,NOTA,None of the Above,692,,-93735
164,BELEGHATA,KUNAL KUMAR GHOSH,All India Trinamool Congress,93757,won,+ 28576
164,BELEGHATA,PARTHA CHAUDHURY,Bharatiya Janata Party,65181,lost,-28576
164,BELEGHATA,PARAMITA ROY,Communist Party of India (Marxist),10525,lost,-83232
164,BELEGHATA,SHAHINA JAVED,Indian National Congress,1638,lost,-92119
164,BELEGHATA,SONALI SAHA,Independent,306,lost,-93451
164,BELEGHATA,JAYANTI MITRA,Socialist Unity Centre Of India (COMMUNIST),298,lost,-93459
164,BELEGHATA,SUBRATA DE,Independent,226,lost,-93531
164,BELEGHATA,NAZIR AHMED,Independent,205,lost,-93552
164,BELEGHATA,PRITAMBAR DAS,Independent,171,lost,-93586
164,BELEGHATA,DEBDYUTI  DEB,Independent,147,lost,-93610
164,BELEGHATA,ABHIJIT HAZRA,Independent,86,lost,-93671
164,BELEGHATA,NOTA,None of the Above,1568,,-92189
165,JORASANKO,VIJAY OJHA,Bharatiya Janata Party,52868,won,+ 5797
165,JORASANKO,VIJAY UPADHYAY,All India Trinamool Congress,47071,lost,-5797
165,JORASANKO,BHARATRAM TEWARI,Communist Party of India (Marxist),4108,lost,-48760
165,JORASANKO,DEEPAK SINGH,Indian National Congress,1111,lost,-51757
165,JORASANKO,ANSUMAN MITRA,Socialist Unity Centre Of India (COMMUNIST),288,lost,-52580
165,JORASANKO,PAWAN KUMAR SHARMA,Independent,248,lost,-52620
165,JORASANKO,PRADEEP KUMAR SARAFF,Independent,125,lost,-52743
165,JORASANKO,BIJOY OJHA,Independent,94,lost,-52774
165,JORASANKO,LAKSHMI PRASAD,Independent,94,lost,-52774
165,JORASANKO,BIJOY GHORAI,Independent,65,lost,-52803
165,JORASANKO,PRITAM SINGH,Independent,62,lost,-52806
165,JORASANKO,HARIRAM SINGH,Independent,41,lost,-52827
165,JORASANKO,NOTA,None of the Above,672,,-52196
166,SHYAMPUKUR,PURNIMA CHAKRABORTY,Bharatiya Janata Party,60248,won,+ 14633
166,SHYAMPUKUR,SHASHI PANJA,All India Trinamool Congress,45615,lost,-14633
166,SHYAMPUKUR,JHUMA DAS,All India Forward Bloc,7356,lost,-52892
166,SHYAMPUKUR,PURNA GHOSH,Indian National Congress,1136,lost,-59112
166,SHYAMPUKUR,GOURANGA KHATUA,Socialist Unity Centre Of India (COMMUNIST),434,lost,-59814
166,SHYAMPUKUR,RIMA MONDAL,Independent,364,lost,-59884
166,SHYAMPUKUR,SANJAY BAGARIA,Independent,186,lost,-60062
166,SHYAMPUKUR,CHHAYA GHOSH,Independent,140,lost,-60108
166,SHYAMPUKUR,UMA GOSWAMI,Independent,113,lost,-60135
166,SHYAMPUKUR,AYAN CHAKRABORTY,Independent,93,lost,-60155
166,SHYAMPUKUR,ANITA JAISWAL,Independent,87,lost,-60161
166,SHYAMPUKUR,BARNALI GHOSH,Independent,54,lost,-60194
166,SHYAMPUKUR,NOTA,None of the Above,942,,-59306
167,MANIKTALA,TAPAS ROY,Bharatiya Janata Party,76370,won,+ 15644
167,MANIKTALA,SHRREYA PANDE,All India Trinamool Congress,60726,lost,-15644
167,MANIKTALA,MOUSUMI GHOSH,Communist Party of India,9014,lost,-67356
167,MANIKTALA,SUGATO ROY CHAUDHURI,Indian National Congress,1426,lost,-74944
167,MANIKTALA,TAPAS ROY,Independent,558,lost,-75812
167,MANIKTALA,SANJAY PRAJAPATI,Bahujan Samaj Party,504,lost,-75866
167,MANIKTALA,SHYAMAL GUHA,Independent,235,lost,-76135
167,MANIKTALA,SUBHAM MAJUMDAR,Independent,223,lost,-76147
167,MANIKTALA,PRANATI PAUL,Amra Bangalee,178,lost,-76192
167,MANIKTALA,SUBIR SAMANTA,Socialist Unity Centre Of India (COMMUNIST),153,lost,-76217
167,MANIKTALA,RICKY PAUL,Independent,117,lost,-76253
167,MANIKTALA,PRATIMA SAHA,Independent,90,lost,-76280
167,MANIKTALA,PINTU PYNE,Independent,70,lost,-76300
167,MANIKTALA,NOTA,None of the Above,1058,,-75312
168,KASHIPUR-BELGACHHIA,RITESH TIWARI,Bharatiya Janata Party,68368,won,+ 1651
168,KASHIPUR-BELGACHHIA,ATIN GHOSH,All India Trinamool Congress,66717,lost,-1651
168,KASHIPUR-BELGACHHIA,RAJENDRA GUPTA,Communist Party of India (Marxist),11151,lost,-57217
168,KASHIPUR-BELGACHHIA,TARAK PAL,Indian National Congress,1340,lost,-67028
168,KASHIPUR-BELGACHHIA,DAYA RAM JAISWARA,Bahujan Samaj Party,370,lost,-67998
168,KASHIPUR-BELGACHHIA,SOUMYA CHATTOPADHYAY,Independent,289,lost,-68079
168,KASHIPUR-BELGACHHIA,NILRATAN NAIYA,Socialist Unity Centre Of India (COMMUNIST),215,lost,-68153
168,KASHIPUR-BELGACHHIA,SURAJIT GUPTA,Independent,186,lost,-68182
168,KASHIPUR-BELGACHHIA,TAPAS SARDAR,Independent,154,lost,-68214
168,KASHIPUR-BELGACHHIA,PHOOLTUSHY DUTTA,Jan Sangh Party,149,lost,-68219
168,KASHIPUR-BELGACHHIA,BIVASH DAS,Independent,124,lost,-68244
168,KASHIPUR-BELGACHHIA,HARSH GUPTA,National Republic Party Of India,95,lost,-68273
168,KASHIPUR-BELGACHHIA,BINAY SINGH,Independent,69,lost,-68299
168,KASHIPUR-BELGACHHIA,ARAFAT SEKH,Independent,65,lost,-68303
168,KASHIPUR-BELGACHHIA,NOTA,None of the Above,1250,,-67118
169,BALLY,SANJAY KUMAR SINGH,Bharatiya Janata Party,57639,won,+ 11997
169,BALLY,KAILASH KUMAR MISHRA,All India Trinamool Congress,45642,lost,-11997
169,BALLY,SANKAR MAITRA,Communist Party of India (Marxist),11284,lost,-46355
169,BALLY,PRIYANKA CHOUDHURY,Indian National Congress,1283,lost,-56356
169,BALLY,RUPALI SARKAR,Independent,212,lost,-57427
169,BALLY,PUTUL CHOWDHURY,Socialist Unity Centre Of India (COMMUNIST),157,lost,-57482
169,BALLY,SANJAY SINGH,Independent,145,lost,-57494
169,BALLY,ABDUL QADIR KHAN,Aam Janata Unnayan party,135,lost,-57504
169,BALLY,SANJAY SINGH,Independent,132,lost,-57507
