Constituency No.,Constituency Name,Candidate Name,Party,Votes,Status,Margin
23,DARJEELING,NOMAN RAI,Bharatiya Janata Party,62076,won,+ 6057
23,DARJEELING,BIJOY KUMAR RAI,Bharatiya Gorkha Prajatantrik Morcha,56019,lost,-6057
23,DARJEELING,AJOY LUCAS EDWARDS,Independent,48635,lost,-13441
23,DARJEELING,JATIN GHALAY,Independent,1937,lost,-60139
23,DARJEELING,MADHAP RAI,Indian National Congress,1729,lost,-60347
23,DARJEELING,MILAN THOKAR,Rastriya Aam Jan Seva Party,1371,lost,-60705
23,DARJEELING,NOTA,None of the Above,2040,,-60036
24,KURSEONG,SONAM LAMA,Bharatiya Janata Party,74878,won,+ 17007
24,KURSEONG,AMAR LAMA,Bharatiya Gorkha Prajatantrik Morcha,57871,lost,-17007
24,KURSEONG,BANDANA RAI,Independent,41088,lost,-33790
24,KURSEONG,UTTAM BRAHMAN,Communist Party of India (Marxist),1690,lost,-73188
24,KURSEONG,SAROJ KUMAR KHATTRI,Indian National Congress,1651,lost,-73227
24,KURSEONG,SUMENDRA TAMANG,Independent,1488,lost,-73390
24,KURSEONG,MOHAN SHARMA,Independent,1399,lost,-73479
24,KURSEONG,NOTA,None of the Above,1768,,-73110
25,MATIGARA-NAXALBARI,ANANDAMAY BARMAN,Bharatiya Janata Party,166905,won,+ 104265
25,MATIGARA-NAXALBARI,SHANKAR MALAKAR,All India Trinamool Congress,62640,lost,-104265
25,MATIGARA-NAXALBARI,JHAREN ROY,Communist Party of India (Marxist),8585,lost,-158320
25,MATIGARA-NAXALBARI,AMITAVA SARKAR,Indian National Congress,5498,lost,-161407
25,MATIGARA-NAXALBARI,NIMESH SUNDAS,Independent,1559,lost,-165346
25,MATIGARA-NAXALBARI,PAPPU ROY,Independent,1510,lost,-165395
25,MATIGARA-NAXALBARI,LAXMI  DAS,Socialist Unity Centre Of India (COMMUNIST),983,lost,-165922
25,MATIGARA-NAXALBARI,BIKASH MANDAL,Independent,980,lost,-165925
25,MATIGARA-NAXALBARI,KRISHNA PADA SINHA,Independent,514,lost,-166391
25,MATIGARA-NAXALBARI,NOTA,None of the Above,1811,,-165094
26,SILIGURI,SHANKAR GHOSH,Bharatiya Janata Party,120760,won,+ 73192
26,SILIGURI,GOUTAM DEB,All India Trinamool Congress,47568,lost,-73192
26,SILIGURI,SARADINDU CHAKRABORTY (JOY),Communist Party of India (Marxist),9168,lost,-111592
26,SILIGURI,ALOK DHARA,Indian National Congress,2275,lost,-118485
26,SILIGURI,TARUN TALAPATRA,Independent,567,lost,-120193
26,SILIGURI,PRIYANKA BOSE,Bahujan Samaj Party,561,lost,-120199
26,SILIGURI,SURAJ BISHWAKARMA,Independent,457,lost,-120303
26,SILIGURI,KRISHNA NAND SINGH,Independent,271,lost,-120489
