West Bengal 2026 — SIR & Adjudication Data by Assembly Constituency,,,,,,,,,,,,,
"Source: konkomaji/wb-election-2026-intelligence (GitHub, MIT License) — compiled from CEO West Bengal / ECI Adjudication Report, April 2026. Data as of ~10 Apr 2026.",,,,,,,,,,,,,
AC No.,Constituency,District,Phase,Electors 2021,Electors 2024,SIR Roll Total,SIR ? vs 2024,SIR ?%,Risk Flag,Under Adjudication,Found Eligible,SIR 27 lakh deletions,Eligible %
83,Krishnanagar Uttar,Nadia,Phase 2 (29 Apr),"2,40,903","2,46,385","2,30,747","-15,638",-635.0%,—,"12,433","1,004","11,429",8.1%
84,Nabadwip,Nadia,Phase 2 (29 Apr),"2,45,527","2,51,525","2,36,364","-15,161",-603.0%,? YES,"7,858","1,849","6,009",23.5%
85,Krishnanagar Dakshin,Nadia,Phase 2 (29 Apr),"2,26,592","2,32,954","2,22,477","-10,477",-450.0%,? YES,"12,765",776,"11,989",6.1%
86,Santipur,Nadia,Phase 2 (29 Apr),"2,56,529","2,58,315","2,45,591","-12,724",-493.0%,—,"13,345","2,346","10,999",17.6%
87,Ranaghat Uttar Paschim,Nadia,Phase 2 (29 Apr),"2,66,977","2,67,218","2,51,710","-15,508",-580.0%,—,"15,041","1,012","14,029",6.7%
88,Krishnaganj,Nadia,Phase 2 (29 Apr),"2,75,166","2,82,086","2,68,932","-13,154",-466.0%,—,"19,849","4,297","15,552",21.6%
89,Ranaghat Uttar Purba,Nadia,Phase 2 (29 Apr),"2,66,322","2,73,964","2,58,682","-15,282",-558.0%,—,"22,694","1,898","20,796",8.4%
90,Ranaghat Dakshin,Nadia,Phase 2 (29 Apr),"2,86,800","2,92,695","2,76,702","-15,993",-546.0%,—,"19,478","2,067","17,411",10.6%
91,Chakdaha,Nadia,Phase 2 (29 Apr),"2,48,813","2,51,796","2,39,446","-12,350",-490.0%,—,"15,237","4,486","10,751",29.4%
92,Kalyani,Nadia,Phase 2 (29 Apr),"2,58,037","2,67,200","2,48,306","-18,894",-707.0%,? YES,"12,236","2,902","9,334",23.7%
93,Haringhata,Nadia,Phase 2 (29 Apr),"2,42,022","2,47,269","2,36,588","-10,681",-432.0%,—,"17,506","5,817","11,689",33.2%
94,Bagdah,North 24 Pgs,Phase 2 (29 Apr),"2,79,319","2,86,228","2,63,142","-23,086",-807.0%,? YES,"13,459","3,442","10,017",25.6%
95,Bongaon Uttar,North 24 Pgs,Phase 2 (29 Apr),"2,50,763","2,64,506","2,41,337","-23,169",-876.0%,—,"12,296","4,016","8,280",32.7%
96,Bongaon Dakshin,North 24 Pgs,Phase 2 (29 Apr),"2,50,251","2,60,962","2,44,814","-16,148",-619.0%,—,"13,447","2,889","10,558",21.5%
97,Gaighata,North 24 Pgs,Phase 2 (29 Apr),"2,54,042","2,63,486","2,48,652","-14,834",-563.0%,—,"22,278","2,640","19,638",11.9%
98,Swarupnagar,North 24 Pgs,Phase 2 (29 Apr),"2,46,255","2,51,641","2,40,459","-11,182",-444.0%,—,"14,377","5,624","8,753",39.1%
99,Baduria,North 24 Pgs,Phase 2 (29 Apr),"2,44,356","2,51,768","2,44,342","-7,426",-295.0%,—,"19,041","10,618","8,423",55.8%
100,Habra,North 24 Pgs,Phase 2 (29 Apr),"2,43,176","2,49,860","2,31,945","-17,915",-717.0%,—,"28,264","9,473","18,791",33.5%
101,Ashoknagar,North 24 Pgs,Phase 2 (29 Apr),"2,56,873","2,66,951","2,45,460","-21,491",-805.0%,? YES,"18,284","7,801","10,483",42.7%
102,Amdanga,North 24 Pgs,Phase 2 (29 Apr),"2,42,823","2,51,591","2,42,055","-9,536",-379.0%,—,"41,005","25,618","15,387",62.5%
103,Bijpur,North 24 Pgs,Phase 2 (29 Apr),"1,93,780","1,91,752","1,64,421","-27,331",-1425.0%,? YES,"6,761","1,434","5,324",21.2%
104,Naihati,North 24 Pgs,Phase 2 (29 Apr),"1,95,145","1,95,761","1,80,430","-15,331",-783.0%,—,"11,355","2,891","8,464",25.5%
105,Bhatpara,North 24 Pgs,Phase 2 (29 Apr),"1,54,440","1,55,742","1,23,643","-32,099",-2061.0%,? YES,"13,526","6,113","7,413",45.2%
106,Jagatdal,North 24 Pgs,Phase 2 (29 Apr),"2,35,621","2,35,746","2,10,806","-24,940",-1058.0%,? YES,"11,259","3,651","7,608",32.4%
107,Noapara,North 24 Pgs,Phase 2 (29 Apr),"2,63,629","2,65,175","2,27,328","-37,847",-1427.0%,? YES,"16,469","8,088","8,376",49.1%
108,Barrackpur,North 24 Pgs,Phase 2 (29 Apr),"2,16,453","2,16,334","1,74,713","-41,621",-1924.0%,? YES,"10,581","7,391","3,190",69.9%
109,Khardaha,North 24 Pgs,Phase 2 (29 Apr),"2,31,450","2,40,672","2,19,942","-20,730",-861.0%,? YES,"14,369","4,962","9,407",34.5%
110,Dum Dum Uttar,North 24 Pgs,Phase 2 (29 Apr),"2,74,076","2,82,241","2,47,672","-34,569",-1225.0%,? YES,"10,990","3,736","7,254",34.0%
111,Panihati,North 24 Pgs,Phase 2 (29 Apr),"2,32,474","2,30,849","1,98,455","-32,394",-1403.0%,? YES,"10,507","2,628","7,878",25.0%
112,Kamarhati,North 24 Pgs,Phase 2 (29 Apr),"1,98,010","2,02,418","1,67,207","-35,211",-1740.0%,? YES,"11,090","5,325","5,765",48.0%
113,Baranagar,North 24 Pgs,Phase 2 (29 Apr),"2,19,623","2,19,056","1,88,773","-30,283",-1382.0%,? YES,"4,982","3,077","1,905",61.8%
114,Dum Dum,North 24 Pgs,Phase 2 (29 Apr),"2,48,970","2,56,345","2,22,550","-33,795",-1318.0%,? YES,"3,021",666,"2,351",22.0%
115,Rajarhat New Town,North 24 Pgs,Phase 2 (29 Apr),"2,89,471","3,17,418","2,86,448","-30,970",-976.0%,? YES,"31,382","7,227","24,132",23.0%
116,Bidhannagar,North 24 Pgs,Phase 2 (29 Apr),"2,43,771","2,47,850","2,02,370","-45,480",-1835.0%,? YES,"6,057","2,567","3,490",42.4%
117,Rajarhat Gopalpur,North 24 Pgs,Phase 2 (29 Apr),"2,58,643","2,69,301","2,25,146","-44,155",-1640.0%,? YES,"9,220","1,882","7,338",20.4%
118,Madhyamgram,North 24 Pgs,Phase 2 (29 Apr),"2,74,453","2,84,909","2,64,119","-20,790",-730.0%,—,"23,348","8,475","14,842",36.3%
119,Barasat,North 24 Pgs,Phase 2 (29 Apr),"2,80,799","2,88,349","2,63,909","-24,440",-848.0%,? YES,"17,384","9,546","7,838",54.9%
